Название,Время отклика,Порты USB 3.1 (Type-C),Графический,Тип матрицы,Веб-камера,Диагональ экрана,Гарантия,Рейтинг,Порты USB 3.0 (Type-C),Количество ядер,Процессор,Количество отзывов,Подсветка клавиш,Выходная мощность адаптера питания,Емкость,Сенсорный,Максимальное число потоков,Соотношение сторон,Тип вилки,Яркость,Количество ячеек,Частота обновления,Операционная система,Объем оперативной памяти,Вес,Цена,Для геймеров,Количество высокопроизводительных ядер,Порты USB 3.2 (Type-C),Количество слотов оперативной
ноутбук игровой msi alpha 17 b5eek-040xru,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,11.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,124990.0,0.0,0.0,0.0,0.0
ноутбук lenovo v15 g2 alc,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,12.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,41990.0,0.0,0.0,0.0,0.0
ноутбук chuwi corebook x 14,0.0,0.0,0,5,0,0,0.0,4.9,0.0,0.0,0,15.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,39990.0,0.0,0.0,0.0,0.0
ноутбук игровой msi pulse gl66 12udk-697ru,0.0,0.0,0,5,0,0,12.0,1.0,0.0,0.0,0,13.0,1.0,0,0.0,0.0,0.0,0,0,0.0,3.0,0.0,0,0.0,2.25,105990.0,0.0,0.0,0.0,0.0
ноутбук игровой msi sword 17 a12ud-248xru,0.0,0.0,27,2,1,18,12.0,5.0,1.0,12.0,46,11.0,1.0,0,0.0,0.0,16.0,2,0,0.0,3.0,144.0,4,16.0,2.6,109990.0,1.0,4.0,0.0,2.0
ноутбук игровой xiaomi redmibook redmi g,0.0,0.0,29,2,1,14,12.0,0.0,0.0,10.0,75,17.0,1.0,0,0.0,0.0,16.0,1,0,0.0,0.0,165.0,9,16.0,0.0,121990.0,1.0,6.0,0.0,0.0
ноутбук lenovo ideapad 3 15itl6,0.0,0.0,0,5,1,0,12.0,5.0,0.0,0.0,0,14.0,1.0,0,0.0,0.0,0.0,0,0,0.0,2.0,0.0,0,0.0,1.65,43090.0,0.0,0.0,0.0,0.0
ноутбук digma pro fortis m,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,6.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,40500.0,0.0,0.0,0.0,0.0
ноутбук игровой msi bravo 15 b5ed-002xru,0.0,0.0,7,2,1,13,12.0,5.0,1.0,6.0,126,9.0,1.0,0,0.0,0.0,12.0,2,0,0.0,0.0,144.0,4,8.0,2.35,73990.0,1.0,6.0,0.0,2.0
ноутбук huawei matebook d 15 bode-wfh9,0.0,0.0,62,2,1,13,12.0,5.0,0.0,4.0,41,6.0,1.0,0,0.0,0.0,8.0,2,0,250.0,4.0,0.0,9,16.0,1.56,62990.0,0.0,4.0,0.0,0.0
"ноутбук realme book 14""",0.0,1.0,62,2,1,6,12.0,4.0,0.0,4.0,38,11.0,1.0,0,6875.0,0.0,8.0,4,0,400.0,0.0,0.0,9,8.0,1.38,64990.0,0.0,4.0,0.0,0.0
ноутбук huawei matebook b3-520,0.0,0.0,62,5,1,0,12.0,0.0,1.0,4.0,38,8.0,1.0,0,0.0,0.0,8.0,0,0,0.0,3.0,0.0,9,0.0,1.56,59990.0,0.0,4.0,0.0,0.0
ноутбук lenovo ideapad 3 15iau7,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,7.0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,1.63,48990.0,0.0,0.0,0.0,0.0
ноутбук acer aspire 3 a315-24p-r490,0.0,0.0,0,5,0,0,0.0,4.0,0.0,0.0,0,8.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,49990.0,0.0,0.0,0.0,0.0
ноутбук msi modern 14 c12m-239ru,0.0,0.0,0,5,0,0,0.0,4.0,0.0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,59990.0,0.0,0.0,0.0,0.0
ноутбук acer aspire 3 a315-24p-r4ve,0.0,0.0,3,2,1,13,12.0,0.0,1.0,4.0,121,1.0,1.0,0,0.0,0.0,8.0,2,0,250.0,3.0,60.0,3,8.0,1.8,41990.0,0.0,4.0,0.0,0.0
