Название,Цена,Количество отзывов,Гарантия,Рейтинг,Длина,Количество поддерживаемых мониторов,OverClock,Рекомендуемая мощность блока
 rtx 4090 tuf-rtx4090-o24g-gaming 24гб gddr6x,197960.0,0.0,36.0,0.0,348.2,4.0,1.0,850.0
 rtx 4080 gv-n4080gaming-16gd 16гб gaming,134070.0,0.0,36.0,0.0,342.0,4.0,0.0,850.0
 rtx 4060ti rtx4060ti dual 8гб gddr6,46720.0,0.0,36.0,0.0,249.9,4.0,0.0,650.0
‌,46720.0,0.0,36.0,0.0,198.0,4.0,0.0,550.0
‌,38330.0,0.0,36.0,0.0,282.0,4.0,1.0,550.0
 rtx 4070 tuf-rtx4070-o12g-gaming 12гб gddr6x,81280.0,0.0,36.0,0.0,301.0,4.0,1.0,650.0
 gtx 1650 dual-gtx1650-o4gd6-p-v2 4гб gddr6,19900.0,0.0,36.0,0.0,212.0,3.0,1.0,300.0
‌,19900.0,0.0,36.0,0.0,230.0,0.0,0.0,600.0
 rtx 4060 gv-n4060eagle oc-8gd 8гб eagle,40840.0,0.0,36.0,0.0,272.0,4.0,1.0,450.0
 rtx 4070ti gv-n407teagle oc-12gd 2.0 12гб eagle,94260.0,0.0,36.0,0.0,261.0,4.0,1.0,750.0
 rx 6700xt axrx 6700xt 12gbd6-3dhl 12гб gddr6,48180.0,0.0,24.0,0.0,305.0,4.0,0.0,650.0
 rtx 4070 rtx 4070 ventus 2x 12g oc 12гб ventus 2x,71220.0,0.0,36.0,0.0,242.0,4.0,1.0,650.0
 rtx 4070ti gv-n407twf3oc-12gd 12гб windforce,93220.0,0.0,36.0,0.0,261.0,4.0,1.0,750.0
