Название,Рейтинг,Количество отзывов,Цена,Страна,Гарантия,Тип,Операционная система,Язык клавиатуры,Диагональ экрана,Разрешение экрана,Соотношение сторон,Максимальная частота обновления,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Объем оперативной памяти,Тип оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Тип оптического привода,Встроенные динамики,Wi-Fi,Bluetooth,Web-камера,HDMI,USB 2.0,USB 3.2,USB 3.2 (Type-C),Разъем для наушников/микрофона,Тип аккумулятора,Емкость,Высота,Ширина,Глубина,Вес,Тип матрицы,Поверхность,Количество потоков,Кэш L3,Максимальный объем,Количество слотов,Частота памяти,Стандарт Wi-Fi,Версия Bluetooth,Картридер,Микрофон,USB 3.0,USB 3.0 (Type-C),USB 3.1 (Type-C),Максимальное время работы,Материал корпуса,Подсветка клавиш,Блок питания,Цвет,Кэш L2,Тип звуковой системы,Количество ячеек,Объем видеопамяти,Ethernet,Mini DisplayPort,USB,USB 3.1,RJ-45,Язык операционной системы,Яркость,Количество ядер графического процессора,Количество динамиков,VGA (D-Sub),DVI,DisplayPort,Thunderbolt 3,Разъем для наушников,Мощность блока питания,Тип вилки,Сканер отпечатков пальцев,Контрастность,Micro USB 2.0,Игровой ноутбук,Дополнительная информация,Mini HDMI,Кабель для зарядки,Угол обзора по вертикали,Угол обзора по горизонтали,Производитель чипсета,Модель чипсета,Интерфейс подключения,Тип видеопамяти,LED-подсветка,Разъем для микрофона,Thunderbolt/USB 4,Мощность динамиков,Объем первого накопителя,Объем второго накопителя,Сенсорный,Частота шины,Разъем Kensington Lock,Сенсорная панель Touch Bar,Чехол,Объем памяти Intel Optane,Платформа Intel Evo,Датчик освещенности,Время отклика,Micro HDMI,USB 2.0 (Type-C),Скорость вращения шпинделя,4G (LTE),
Игровой ноутбук Thunderobot 911 Air D (JT0098E06RU),5.0,56.0,54 999 р.,Китай,1 год,Ноутбук ,Без ОС ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Core i5-11260H,2.6 ГГц,4.4 ГГц,6 ,8 ГБ ,DDR4,SSD ,256 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,,,,Есть,,,2.39 см ,35.92 см,25.38 см,2.15 кг ,IPS ,Матовая ,,12 МБ,24 ГБ,1,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,"SD, SDHC, SDXC",Есть,,1 ,,5 ч ,"Металл, Пластик ",Есть ,,Черный ,,Nahimic Audio,,4 ГБ,10/100/1000 Мбит/с,,,2 ,Есть,,,,2,,,Есть,,,,Европейская Schuko (Тип F),,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Apple MacBook Air 13 M1/8/256GB Gold (MGND3),5.0,11.0,91 999 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","13.3"" ",2560x1600 Пикс ,,,Apple ,Apple M1,3.2 ГГц,,8 ,8 ГБ ,,SSD ,256 ГБ ,Интегрированная ,Apple ,Apple M1,Отсутствует ,Есть,Есть ,Есть ,,Есть ,,,,,Li-Pol,,1.61 см ,30.41 см,21.24 см,1.29 кг ,IPS ,,,,8 ГБ,,3200 МГц,IEEE 802.11aх,5.0,,Есть,,,1 ,18 ч ,Алюминий ,Есть ,Есть,Золотистый ,,Dolby Atmos,,,,,,1 ,,Английский,400 кд/м²,8,2,Есть,Есть,Есть,2,Есть,30 Вт,Американская (Тип A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук Thunderobot 911 Air XD (JT0090E08RU),5.0,13.0,74 999 р.,Китай,1 год,Ноутбук ,Без ОС ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i5-12450H,2 ГГц,4.4 ГГц,8 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050 для ноутбуков,Отсутствует ,,Есть ,Есть ,,Есть ,,2,1,Есть,,4550 мА*ч,2.39 см ,35.9 см,25.4 см,2.15 кг ,,Матовая ,,12 МБ,32 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.0,"SD, SDHC, SDXC",,,,,7 ч ,Пластик ,Есть ,,Черный ,,,,4 ГБ,10/100/1000 Мбит/с,,,,Есть,,,,,,,,,,,Европейская Schuko (Тип F),,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook 14S Space Gray (HKF-X 53013EDV),5.0,10.0,114 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","14"" ",2520x1680 Пикс ,,,Intel ,Core i7-12700H,2.54 ГГц,4.7 ГГц,14 ,16 ГБ ,LPDDR4X,SSD ,1 ТБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,1 Мпикс,Есть ,1 ,,,Есть,,,1.67 см ,31.38 см,22.98 см,1.43 кг ,IPS ,Глянцевая ,,24 МБ,,,4267 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,Есть,,2 ,,9 ч ,Металл ,,,Серый ,,,,,,,3 ,,,,,,,,,,,,,Европейская (Тип F),Есть ,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook D 15 8+256GB Mystic Silver (BOD-WDI9),5.0,92.0,43 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,,Intel ,Core i3-1115G4,3 ГГц,4.1 ГГц,2 ,8 ГБ ,DDR4,SSD ,256 ГБ ,Интегрированная ,Intel ,UHD Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,2 ,1,,Есть,,,1.69 см ,35.78 см,22.99 см,1.63 кг ,IPS ,Матовая ,,,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,Есть,,,,7 ч ,Металл ,,,Серебристый ,6 МБ,,,,,,3 ,,,,,,2,,,,,,,Европейская (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook 16S Cref-X i9-12900H Space Grey (53013DSU),5.0,44.0,124 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","16"" ",2520x1680 Пикс ,,,Intel ,Core i9-12900H,2.4 ГГц,5 ГГц,14 ,16 ГБ ,LPDDR5,SSD ,1 ТБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,,Есть ,2 ,,,Есть,,,1.78 см ,35.1 см,25.49 см,1.99 кг ,IPS ,Матовая ,,24 МБ,,,5200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,,,,1 ,,7 ч ,Металл ,,,Серый ,,,,,,,,,,,,,,,,,,Есть,,Европейская (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook 16S Cref-X i7-12700H Space Grey (53013DRK),5.0,42.0,114 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","16"" ",2520x1680 Пикс ,,,Intel ,Core i7-12700H,2.4 ГГц,4.7 ГГц,14 ,16 ГБ ,LPDDR5,SSD ,1 ТБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,,Есть ,2 ,,,Есть,,,1.78 см ,35.1 см,25.49 см,1.99 кг ,IPS ,Матовая ,,24 МБ,,,5200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,,,,1 ,,7 ч ,Металл ,,,Серый ,,,,,,,,,,,,,,,,,,Есть,,Европейская (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук Thunderobot Zero Max (JT009VE07RU),5.0,9.0,179 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя x64 ,"Английский, Русский","16"" ",2560x1600 Пикс ,,165 Гц,Intel ,Core i7-12700H,3.7 ГГц,4.7 ГГц,14 ,32 ГБ ,DDR5,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070 Ti для ноутбуков,Отсутствует ,Есть,Есть ,Есть ,,Есть ,,,,Есть,,4129 мА*ч,2.73 см ,36 см,28.6 см,2.58 кг ,IPS ,Матовая ,,24 МБ,64 ГБ,2,4800 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,,,,,1 ,5 ч ,"Металл, Пластик ",Есть ,,Серый ,,Nahimic sound,,8 ГБ,10/100/1000 Мбит/с,1,,2 ,Есть,,,,,,,,,,,Европейская Schuko (Тип F),,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HONOR MagicBook X 15 i5/16/512 Space Gray (BBR-WAH9),5.0,44.0,69 999 р.,Китай,1 год,Ноутбук ,Windows 10 Домашняя x64 ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Core i5-10210U,1.6 ГГц,,4 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,UHD Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,,,,Есть,,,1.59 см ,35.73 см,22.95 см,,IPS ,Матовая ,,,,,2666 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,,Есть,2 ,1 ,,7 ч ,Алюминий ,,,Серый ,8 МБ,,,,,,,,,,,,2,,,,,,,Европейская Schuko (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook D 14 8+256GB Mystic Silver (NbD-WDI9),5.0,39.0,43 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","14"" ",1920x1080 Пикс ,,,Intel ,Core i3-1115G4,2.4 ГГц,4.2 ГГц,4 ,8 ГБ ,DDR4,SSD ,256 ГБ ,Интегрированная ,Intel ,Iris Graphics,Отсутствует ,Есть,Есть ,Есть ,,Есть ,2 ,1,,Есть,,,1.59 см ,32.25 см,21.48 см,1.38 кг ,IPS ,,,,,,,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,Есть,,1 ,,,Металл ,,,Серебристый ,8 МБ,,,,,,,,,,,,2,,,,,,,Европейская (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook X Pro i7-1260P Blue (MRGF-X 53013GCT),5.0,32.0,149 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,"Английский, Русский","14.2"" ",3120x2080 Пикс ,,90 Гц,Intel ,Core i7-1260P,2.1 ГГц,4.7 ГГц,12 ,16 ГБ ,LPDDR5,SSD ,1 ТБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,,,,,,Есть,,,1.56 см ,31 см,22.1 см,1.38 кг ,LTPS ,Матовая ,,18 МБ,,,5200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,,,,2 ,,8 ч ,Магниевый сплав ,,,Синий ,,,,,,,,,,,,,,,,,,Есть,,Европейская (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Haier P1510SD,4.0,13.0,27 999 р.,Китай,1 год,Ноутбук ,FreeDOS ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Pentium N5030,1.1 ГГц,3.1 ГГц,4 ,8 ГБ ,DDR4,SSD ,256 ГБ ,Интегрированная ,Intel ,UHD Graphics 605,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,,,,,Есть,,5000 мА*ч,2.1 см ,35.8 см,24 см,1.65 кг ,IPS ,Матовая ,,,,,1600 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11g, IEEE 802.11n",4.2,"SD, SDHC, SDXC",Есть,2 ,1 ,,5 ч ,"Металл, Пластик ",Есть ,,Черный ,4 МБ,,,,,,,,,,,,2,,,,,,,Европейская Schuko (Тип F),,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook X Pro Space Gray (MRGF-X 53013GCR),5.0,39.0,139 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,"Английский, Русский","14.2"" ",3120x2080 Пикс ,,90 Гц,Intel ,Core i7-1260P,2.1 ГГц,4.7 ГГц,12 ,16 ГБ ,LPDDR5,SSD ,1 ТБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,,,,,,Есть,,,1.56 см ,31 см,22.1 см,1.38 кг ,LTPS ,Матовая ,,18 МБ,,,5200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,,,,2 ,,8 ч ,Алюминий ,,,Серый ,,,,,,,,,,,,,,,,,,Есть,,Европейская (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук Thunderobot 911 Plus X (JT009WE07RU),4.0,16.0,89 999 р.,Китай,1 год,Ноутбук ,Windows 11 Профессиональная x64 ,"Английский, Русский","17.3"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i5-12450H,2 ГГц,4.4 ГГц,8 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,Intel ,GeForce RTX 3050 Ti для ноутбуков,Отсутствует ,,Есть ,Есть ,,Есть ,1 ,2,1,Есть,,3410 мА*ч,2.59 см ,39.7 см,26.3 см,2.5 кг ,,Матовая ,,12 МБ,64 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.0,"SD, SDHC, SDXC",,,,,5 ч ,Пластик ,Есть ,,Серый ,,,,4 ГБ,10/100/1000 Мбит/с,,,,Есть,,,,,,,,,,,Европейская Schuko (Тип F),,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Irbis NB256,5.0,19.0,15 999 р.,Китай,1 год,Ноутбук ,Windows 10 Домашняя ,"Английский, Русский","14"" ",1366x768 Пикс ,,,Intel ,Celeron N3350,1.1 ГГц,,2 ,4 ГБ ,LPDDR4,eMMC ,64 ГБ ,Интегрированная ,Intel ,Intel HD Graphics 500,Отсутствует ,Есть,Есть ,Есть ,0.3 Мпикс,,1 ,,,Есть,,4500 мА*ч,2.08 см ,32.93 см,21.75 см,1.273 кг ,IPS ,,,,,,1600 МГц,"IEEE 802.11b, IEEE 802.11g, IEEE 802.11n",4.0,,Есть,1 ,,,4 ч ,Пластик ,,,Серый ,2 МБ,,,,,,,,,,,,,,,,,,,Европейская Schuko (Тип F),,,,,,1,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook X Pro i7-1260P White (MRGF-X 53013MER),5.0,30.0,149 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,"Английский, Русский","14.2"" ",3120x2080 Пикс ,,90 Гц,Intel ,Core i7-1260P,2.1 ГГц,4.7 ГГц,12 ,16 ГБ ,LPDDR5,SSD ,1 ТБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,,,,,,Есть,,,1.56 см ,31 см,22.1 см,1.38 кг ,LTPS ,Матовая ,,18 МБ,,,5200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,,,,2 ,,8 ч ,Магниевый сплав ,,,Белый ,,,,,,,,,,,,,,,,,,Есть,,Европейская (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook D 15 5500U/8+512GB Mystic Silver (BoM-WDQ9),5.0,54.0,57 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,,AMD ,Ryzen 5 5500U,2.1 ГГц,4 ГГц,6 ,8 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,AMD ,Radeon Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,2 ,1,,Есть,,,1.69 см ,35.78 см,22.99 см,1.63 кг ,IPS ,Матовая ,,,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,Есть,,1 ,,7 ч ,Металл ,,,Серебристый ,8 МБ,,,,,,,,,,,,2,,,,,,,Европейская (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HONOR MagicBook X 15 i5/8/512 Space Gray (BBR-WAH9),5.0,68.0,59 999 р.,Китай,1 год,Ноутбук ,Windows 10 Домашняя x64 ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Core i5-10210U,1.6 ГГц,4.2 ГГц,4 ,8 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,UHD Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,1 ,,,Есть,,,1.69 см ,35.73 см,22.95 см,1.56 кг ,IPS ,Матовая ,,,,,2400 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,,Есть,1 ,1 ,,7 ч ,Алюминий ,,,Серый ,6 МБ,,,,,,,,,,,,2,,,,,,,Европейская Schuko (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Haier i1500SM,5.0,13.0,32 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Core i3-10110U,2.1 ГГц,4.1 ГГц,2 ,8 ГБ ,DDR4,SSD ,256 ГБ ,Интегрированная ,Intel ,HD Graphics,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,Есть ,,,,Есть,,3400 мА*ч,2.2 см ,27.5 см,24.3 см,1.65 кг ,IPS ,Матовая ,,,,,1600 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,"SD, SDHC, SDXC",Есть,2 ,1 ,,5 ч ,Пластик ,Есть ,,Серый ,4 МБ,,,,,,,,,,,,2,,,,,,,Европейская Schuko (Тип F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук Haier GG1502XD,5.0,9.0,74 999 р.,Китай,1 год,Ноутбук ,Без ОС ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i5-11400H,2.4 ГГц,,6 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3050 Ti,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,1 ,,,Есть,,,2.79 см ,36.1 см,25.8 см,2.5 кг ,WVA ,Матовая ,,12 МБ,64 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.0,"SD, SDHC, SDXC",Есть,3 ,1 ,,5 ч ,Пластик ,Есть ,Есть,,,Sound Blaster Cinema,,4 ГБ,10/100/1000 Мбит/с,1,,,Есть,,,,2,,,,,,,Европейская Schuko (Тип F),,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Lenovo IdeaPad 3 14ADA05 (81W000KQRU),5.0,30.0,29 999 р.,Китай,1 год,Ноутбук ,Windows 10 ,"Английский, Русский","14"" ",1920x1080 Пикс ,,60 Гц,AMD ,Athlon Silver 3050U,2.3 ГГц,3.2 ГГц,2 ,4 ГБ ,DDR4,,,Интегрированная ,AMD ,Radeon Graphics,Отсутствует ,Есть,Есть ,Есть ,0.3 Мпикс,Есть ,1 ,,,Есть,,,2 см ,32.7 см,24.1 см,1.6 кг ,TN ,,4,4 МБ,12 ГБ,,2400 МГц,,4.1,"SD, SDHC, SDXC",Есть,2 ,,,,,,,Синий ,,Dolby Audio,,,,,3 ,,,,,,2,,,,,,,Европейская Schuko (Тип F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Digma Eve 10 A200 (ES1052EW),5.0,42.0,11 999 р.,Китай,1 год,Ноутбук ,Windows 10 Домашняя x64 ,"Английский, Русский","10.1"" ",1366x768 Пикс ,,,Intel ,Atom x5-Z8350,1.44 ГГц,,4 ,2 ГБ ,DDR3,eMMC ,64 ГБ ,Интегрированная ,Intel ,HD Graphics,Отсутствует ,Есть,Есть ,Есть ,0.3 Мпикс,,1 ,,,Есть,,2500 мА*ч,1.3 см ,26.8 см,19 см,0.935 кг ,IPS ,Матовая ,,,,,1333 МГц,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",4.0,,,1 ,,,5 ч ,Пластик ,,,Черный ,2 МБ,,,,,,,,,,,,2,,,,,,,Европейская Schuko (Тип F),,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Digma Eve 15 C423 Cel N3350 (ES5069EW),4.0,11.0,19 999 р.,Китай,1 год,Ноутбук ,Windows 10 Домашняя ,"Английский, Русский","15.5"" ",1920x1080 Пикс ,,,Intel ,Celeron N3350,1.1 ГГц,2.4 ГГц,2 ,4 ГБ ,DDR3,eMMC ,128 ГБ ,Интегрированная ,Intel ,HD Graphics 500,Отсутствует ,Есть,Есть ,Есть ,0.3 Мпикс,,1 ,,,Есть,,5000 мА*ч,2.3 см ,37 см,23.5 см,1.25 кг ,IPS ,Матовая ,,,,,1600 МГц,"IEEE 802.11b, IEEE 802.11g, IEEE 802.11n",4.0,"microSDHC, microSD",,1 ,,,8 ч ,Пластик ,,Есть,Серый ,2 МБ,,,,,,,,,,,,2,,,,,,,Европейская Schuko (Тип F),,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Irbis NB64,4.0,53.0,9 999 р.,Китай,1 год,Ноутбук ,Windows 10 ,"Английский, Русский","13.3"" ",1920x1080 Пикс ,,,Intel ,Atom x5-Z8350,1.44 ГГц,1.92 ГГц,4 ,2 ГБ ,LPDDR3,eMMC ,32 ГБ ,Интегрированная ,Intel ,Intel HD Graphics,Отсутствует ,,Есть ,Есть ,0.3 Мпикс,,1 ,,,,,8000 мА*ч,2.08 см ,32.93 см,21.75 см,1.27 кг ,IPS ,,,4 МБ,,,,,,,,1 ,,,5 ч ,Пластик ,,,Черный ,,,,,,,2 ,,,,,,,,,,,Есть,,Европейская Schuko (Тип F),,,,,,1,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,
Ноутбук Digma EVE 15 P418 (ES5064EW),4.0,28.0,18 999 р.,Китай,1 год,Ноутбук ,Windows 10 x64 ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,,Intel ,Pentium J3710,1.6 ГГц,,4 ,4 ГБ ,DDR4,eMMC ,128 ГБ ,Интегрированная ,Intel ,Intel HD Graphics 405,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,,,,,,,5000 мА*ч,2.1 см ,37 см,23.7 см,1.54 кг ,IPS ,Матовая ,,,,,2133 МГц,"IEEE 802.11b, IEEE 802.11g, IEEE 802.11n",4.0,"microSDHC, microSD",Есть,1 ,1 ,,7 ч ,Пластик ,,,Серый ,2 МБ,,,,,,,,,,,,2,,,,,,,Европейская Schuko (Тип F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook D14 NbDE-WDH9 i5/8GB/512GB Mystic Silver (53013NYY),5.0,15.0,54 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,,"14"" ",1920x1080 Пикс ,,,Intel ,Core i5-1135G7,2.4 ГГц,4.2 ГГц,4 ,8 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,Intel Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,1 Мпикс,Есть ,2 ,1,,Есть,,,1.59 см ,32.25 см,21.48 см,1.38 кг ,IPS ,Матовая ,8,8 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,,,1 ,,7 ч ,Металл ,,,Серебристый ,,,,,,,,,,,,,,,,,,Есть,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook D16 Rlef-X i5/16GB/512GB Space Grey (53013EUS),5.0,16.0,76 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","16"" ",1920x1200 Пикс ,,,Intel ,Core i5-12450H,2 ГГц,4.4 ГГц,8 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,UHD Graphics,Отсутствует ,,Есть ,Есть ,2.0 Мпикс,Есть ,2 ,1,,Есть,,,1.84 см ,35.67 см,24.87 см,1.71 кг ,IPS ,,12,12 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,,,1 ,,,Металл ,,,Серый ,,,,,,,,,,,,,,,,,,,,Европейская Schuko (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Lenovo IdeaPad 3 17ITL6 (82H900DTUS),5.0,13.0,46 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя x64 ,"Английский, Русский","17.3"" ",1920x1080 Пикс ,,,Intel ,Core i3-1115G4,1.7 ГГц,4.1 ГГц,2 ,8 ГБ ,DDR4,SSD ,256 ГБ ,Интегрированная ,Intel ,UHD Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,1 ,1,1,Есть,,,1.99 см ,39.9 см,27.4 см,2.1 кг ,IPS ,Матовая ,4,,12 ГБ,1,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,"SD, SDXC",,,,,11 ч ,Пластик ,,,Синий ,6 МБ,Dolby Audio,,,,,,,,,,,,,,,,,,Американская (Тип A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
