Название,Рейтинг,Количество отзывов,Цена,link,Страна,Гарантия,Игровой системный блок,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Тип видеопамяти,LAN-адаптер,VGA (D-Sub),DVI,HDMI,DisplayPort,USB 2.0,USB 3.0,LAN разъем (RJ-45),Фронтальный разъем для наушников/микрофона 3.5мм,Типоразмер корпуса,Подсветка корпуса,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,USB,Разъем для наушников,Тип оптического привода,Bluetooth-адаптер,Wi-Fi,Стандарт Wi-Fi,USB 3.0 (Type-C),Размещение,Объем первого накопителя,Объем второго накопителя,Line-In,Фронтальный разъем для наушников 3.5мм,Кэш L2,Разъем для наушников/микрофона,USB 3.1,USB 3.1 (Type-C),Разъем для микрофона,Материал корпуса,Фронтальный разъем для микрофона 3.5мм,Дополнительная информация,Картридер,Интерфейс подключения,Скорость вращения шпинделя,Кабель питания,Тип вилки,PS/2,Производитель чипсета,Модель чипсета,Количество ядер графического процессора,Thunderbolt/USB 4,USB 3.2,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink,USB 3.2 (Type-C),Клавиатура,Мышь,Последовательный порт RS-232,Разрядность
Игровой компьютер HYPERPC Cyber Max M1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-cyber-max-m1/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i9-12900KF,2.4 ГГц ,5.2 ГГц,16 ,30 МБ,32 ГБ ,128 ГБ,DDR5,5600 МГц,2 шт.,SSD ,3 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4090,24 ГБ,GDDR6X,,,,1 шт.,1,,,,,,Есть,1000 Вт,64.7 см,23.2 см,62 см,20 кг,Черный,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Pro Plus M1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-pro-plus-m1/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070 Ti,8 ГБ,GDDR6X,,,,1 шт.,1,,,,,,Есть,750 Вт,50.1 см,22.4 см,48.2 см,20 кг,Черный,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Pro Max M2,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-pro-max-m2/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700KF,2.7 ГГц ,5 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,,,,1 шт.,1,,,,,,Есть,850 Вт,50.1 см,22.4 см,48.2 см,20 кг,Черный,,,,,,,,Вертикальное,,,,,12 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Nano X M1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-nano-x-m1/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,3600 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,8 ГБ,,,,,1 шт.,1,2 шт.,,,,,,650 Вт,28.7 см,16.9 см,35.2 см,15 кг,Серый,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Dynamic M1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-dynamic-m1/,Россия,1 год,Есть ,Windows 11 ,Intel ,Core i7-12400F,2.7 ГГц ,5 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,4 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,,,,,1 шт.,1,2 шт.,,,,,Есть,850 Вт,44.6 см,27 .2 см,44.5 см,20 кг,Черный,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Dynamic Plus M1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-dynamic-plus-m1/,Россия,1 год,Есть ,Windows 11 Домашняя ,AMD ,Ryzen 9 7900X,4.7 ГГц ,5.6 ГГц,12 ,64 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,3 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,,,,,1 шт.,1,2 шт.,,,,,Есть,850 Вт,44.6 см,27.2 см,44.5 см,20 кг,Черный,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Dynamic Plus M1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-dynamic-max-m1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC G2 Pro,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-g2-pro/,Россия,1 год,Есть ,Windows 11 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,8 ГБ,,,,,1 шт.,1,2 шт.,,,,,,850 Вт,44 см,21.2 см,39.5 см,20 кг,Черный,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC G2 Pro Plus,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-g2-pro-plus/,Россия,1 год,Есть ,Windows 11 Профессиональная ,Intel ,Core i5-12600K,3.7 ГГц ,4.9 ГГц,10 ,20 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070 Ti,8 ГБ,,,,,1 шт.,1,2 шт.,,,,,,750 Вт,44 см,21.2 см,39.5 см,20 кг,Черный,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC G2 Pro Max,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-g2-pro-max/,Россия,1 год,Есть ,Windows 11 Профессиональная ,AMD ,Ryzen 5 7600X,4.7 ГГц ,5.2 ГГц,6 ,32 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX A4000,16 ГБ,,,,,1 шт.,1,2 шт.,,,,,,850 Вт,44 см,21.2 см,39.5 см,20 кг,Черный,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC G4 Pro,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-g4-pro/,Россия,1 год,Есть ,Windows 11 ,AMD ,Ryzen 7 7700X,4.5 ГГц ,5.4 ГГц,8 ,32 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,,,,,1 шт.,1,2 шт.,,,,,,850 Вт,47.4 см,24 см,54.2 см,20 кг,Черный,,,,,,,,,,,,,8 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Lenovo G5-14ACN6 (90RW00CRRS),,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-lenovo-g5-14acn6-90rw00crrs/,Китай,1 год,Есть ,Нет ,AMD ,Ryzen 7 5700G,3.8 ГГц ,4.6 ГГц,8 ,16 МБ,32 ГБ ,,DDR4,3200 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,1 шт.,,6 шт.,2 шт.,1 шт.,Есть,,,380 Вт,36.5 см,14.5 см,29.2 см,5.8 кг,"Синий, Черный",,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",3 шт.,Вертикальное,,,1,,4 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Lenovo G5-14ACN6 (90RW00CYRS),,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-lenovo-g5-14acn6-90rw00cyrs/,Китай,1 год,Есть ,Нет ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.6 ГГц,6 ,16 МБ,16 ГБ ,,DDR4,3200 МГц,,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,1 шт.,,6 шт.,2 шт.,1 шт.,Есть,,,380 Вт,36.5 см,14.5 см,29.2 см,5.8 кг,"Синий, Черный",,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",3 шт.,Вертикальное,,,1,,3 МБ,,,,,,,,SD,,,,,,,,,,,,,,,,,,,
Игровой компьютер Lenovo T5-26IOB6 (90RT00UNRS),,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-lenovo-t5-26iob6-90rt00unrs/,Китай,1 год,Есть ,FreeDOS ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,,DDR4,3200 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070,8 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,1 шт.,3,2 шт.,4 шт.,1 шт.,Есть,,Есть,650 Вт,41.1 см,20.5 см,39.6 см,14 кг,Черный,,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",1 шт.,Вертикальное,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Lenovo G5-14ACN6 (90RW00CNRS),,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-lenovo-g5-14acn6-90rw00cnrs/,Китай,1 год,Есть ,Нет ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,AMD ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,1 шт.,3,6 шт.,2 шт.,1 шт.,Есть,,,380 Вт,36.5 см,14.5 см,29.2 см,5.8 кг,"Синий, Черный",,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",1 шт.,Вертикальное,,,1,,3 МБ,,,,,,,,SD,,,,,,,,,,,,,,,,,,,
Игровой компьютер Lenovo G5-14ACN6 (90RW00D0RS),,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-lenovo-g5-14acn6-90rw00d0rs/,Китай,1 год,Есть ,FreeDOS ,AMD ,Ryzen 7 5700G,3.8 ГГц ,4.6 ГГц,8 ,16 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,AMD ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,1 шт.,3,6 шт.,2 шт.,1 шт.,Есть,,,380 Вт,36.5 см,14.5 см,29.2 см,5.8 кг,"Синий, Черный",,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",1 шт.,Вертикальное,,,1,,4 МБ,,,,,,,,SD,,,,,,,,,,,,,,,,,,,
Игровой компьютер Lenovo T5-26IOB6 (90RT00UQRS),,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-lenovo-t5-26iob6-90rt00uqrs/,Китай,1 год,Есть ,FreeDOS ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,,DDR4,3200 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070,8 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,1 шт.,3,2 шт.,4 шт.,1 шт.,Есть,,Есть,650 Вт,41.1 см,20.5 см,39.6 см,14 кг,Черный,,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",1 шт.,Вертикальное,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Lenovo T5-26IOB6 (90RT00UQRS),,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hp-pavilion-gaming-tg01-2103ur-5s4g0ea/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер ASUS G10DK-A3400G0310 MT (90PF02S1-M006R0),,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-asus-g10dk-a3400g0310-mt-90pf02s1-m006r0/,Китай,1 год,Есть ,Нет ,AMD ,Ryzen 5 3400G,3.7 ГГц ,4.2 ГГц,4 ,4 МБ,8 ГБ ,,DDR4,2933 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 Ti,6 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,1 шт.,1,,6 шт.,1 шт.,Есть,,Есть,500 Вт,42.8 см,18 см,43 см,8 кг,Серый,,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,,1,,2 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Factor,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-factor-590053008/,Россия,1 год,Есть ,Windows 10 Домашняя x64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,HDD+SSD ,1512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,,1 шт.,,,Есть,700 Вт,48 см,21 см,44 см,15 кг,Черный,,,,,,,,Вертикальное,1 ТБ,512 ГБ,,,7.5 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Fury,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-fury-590053009/,Россия,1 год,Есть ,Windows 10 Домашняя x64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,HDD+SSD ,1512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070 Ti,8 ГБ,GDDR6X,1000/100/10 Мбит/с,,,2 шт.,2,4 шт.,,1 шт.,,,Есть,750 Вт,47 см,23 см,45.5 см,15 кг,Черный,,,,,,,,Вертикальное,1 ТБ,512 ГБ,,,7.5 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HP TG01-2104ur Black (5S4G1EA),,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hp-tg01-2104ur-black-5s4g1ea/,Китай,1 год,Есть ,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,4 ГБ ,32 ГБ,DDR4,2933 МГц,2 шт.,SSD ,256 ГБ ,Дискретная ,AMD ,GeForce GTX 1650,4 ГБ,GDDR5,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,2 шт.,1 шт.,Есть,,,310 Вт,33.8 см,15.6 см,30.4 см,5.96 кг,Черный,,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",1 шт.,Вертикальное,,,1,,3 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Cyber N1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-cyber-n1/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-13700KF,2.5 ГГц ,5.4 ГГц,16 ,30 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,,,,1 шт.,1,,,,,,,850 Вт,64.7 см,23.2 см,62 см,20 кг,Серый,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Cyber Plus N2,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-cyber-plus-n2/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,,2.2 ГГц ,5.8 ГГц,24 ,,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,3 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4080,16 ГБ,GDDR6X,,,,1 шт.,1,,,,,,,1000 Вт,64.7 см,23.2 см,62 см,20 кг,Серый,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Cyber Max N1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-cyber-max-n1/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700KF,2.7 ГГц ,5 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR5,4800 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080 Ti,12 ГБ,GDDR6X,,,,1 шт.,1,,,,,,,850 Вт,64.7 см,23.2 см,62 см,20 кг,Серый,,,,,,,,Вертикальное,,,,,12 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Dynamic Max N1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-dynamic-max-n1/,Россия,1 год,Есть ,Windows 11 ,Intel ,,2.5 ГГц ,5.5 ГГц,16 ,30 МБ,32 ГБ ,128 ГБ,DDR5,5600 МГц,2 шт.,SSD ,3 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4090,24 ГБ,GDDR6X,,,,1 шт.,1,2 шт.,,,,,Есть,1200 Вт,42 см,27 см,38 см,20 кг,Черный,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Plus NM1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-plus-nm1/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070 Ti,8 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,1,,,,,,Есть,850 Вт,43.7 см,20.4 см,42.6 см,15 кг,Черный,,,Нет ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Max NM2,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-max-nm2/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,1,,,,,,Есть,850 Вт,43.7 см,20.4 см,42.6 см,15 кг,Черный,,,Нет ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Volt NM1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-volt-nm1/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,AMD ,Ryzen 5 7600X,4.7 ГГц ,5.2 ГГц,6 ,32 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,3 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,1,,,,,,Есть,850 Вт,59.5 см,23.8 см,67.3 см,20 кг,Черный,,,Нет ,,,,,,2 ТБ,1 ТБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Plus NM2,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-plus-nm2/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070 Ti,8 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,1,,,,,,Есть,850 Вт,43.7 см,20.4 см,42.6 см,15 кг,Серый,,,Нет ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Max NM3,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-max-nm3/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,1,,,,,,Есть,850 Вт,43.7 см,20.4 см,42.6 см,15 кг,Черный,,,Нет ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Pro Max NM2,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-pro-max-nm2/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,24 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,,,,1 шт.,1,,,,,,Есть,850 Вт,43.7 см,20.4 см,42.6 см,20 кг,Черный,,,Нет ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Plus N1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-plus-n1/,Россия,1 год,Есть ,Windows 10 Домашняя x64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,,,,,,Есть,850 Вт,50.1 см,22.4 см,48.2 см,15 кг,Серый,,,,,,,,Вертикальное,,,,,7.5 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Plus N2,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-plus-n2/,Россия,1 год,Есть ,Windows 10 Домашняя x64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,,,,,,Есть,850 Вт,50.1 см,22.4 см,48.2 см,15 кг,Черный,,,,,,,,Вертикальное,,,,,7.5 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Cyber N1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-cyber-n1-590071805/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-13700KF,2.5 ГГц ,5.4 ГГц,16 ,30 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,,,,1 шт.,1,,,,,,,850 Вт,64.7 см,23.2 см,62 см,20 кг,Серый,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Cyber N2,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-cyber-n2/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-13700KF,2.5 ГГц ,5.4 ГГц,16 ,30 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070 Ti,12 ГБ,GDDR6X,,,,1 шт.,1,,,,,,,850 Вт,64.7 см,23.2 см,62 см,20 кг,Черный,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Cyber Plus N3,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-cyber-plus-n3/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i9-13900KF,2.2 ГГц ,5.8 ГГц,24 ,36 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,2 шт.,SSD ,3 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4080,16 ГБ,GDDR6X,,,,1 шт.,1,,,,,,,1000 Вт,64.7 см,23.2 см,62 см,20 кг,Серый,,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
